Avg,RH_Avg,OT
27.75,51.03283333,22.111
27.7604,50.69406667,22.111
27.7396,50.22001667,22.111
27.625,50.32451667,22.111
27.5729,51.57638333,22.111
27.5104,52.55801667,22.111
27.4896,52.94676667,22.111
27.4375,52.83148333,22.111
27.4063,52.74405,22.111
27.6458,52.11276667,22.111
27.7604,51.48951667,22.111
27.8542,51.36205,22.111
27.8542,51.17396667,22.111
27.7916,50.98548333,22.111
27.7604,50.99135,22.111
27.8333,50.66306667,22.111
27.7396,50.71023333,22.111
27.7083,50.4807,22.111
27.7291,50.64468333,22.111
27.7708,50.5606,22.111
27.7083,50.32368333,22.111
27.7083,50.39663333,22.111
27.6354,50.09171667,22.111
27.5625,49.28871667,22.111
27.4688,48.48463333,22.111
27.5,47.62995,22.111
27.4584,47.08221667,22.111
27.4479,46.76145,22.111
27.4063,46.08851667,22.111
27.2917,45.77576667,22.111
27.3541,45.31636667,22.111
27.2812,44.84131667,22.111
27.3021,44.47465,22.111
27.2396,44.69568333,22.111
27.2292,44.81606667,22.111
27.1979,45.28261667,22.111
27.1458,45.35353333,22.111
27.0104,48.20896667,22.111
26.7604,50.70458333,22.111
26.6146,51.79758333,22.111
26.5313,52.94216667,22.111
26.3958,53.99641667,22.111
26.2083,55.05888333,22.111
26.1354,55.3639,22.111
25.875,56.21741667,22.111
25.7708,56.215,22.111
25.6771,55.8615,22
25.6458,56.0417,21.222
25.6563,55.54648333,20.722
25.6459,55.3895,20.5
25.5312,55.50956667,20.222
25.4896,55.58673333,20.111
25.5,55.91038333,19.888
25.5729,55.90368333,19.5
25.6354,56.22368333,18.888
25.6875,56.46095,18.388
25.7187,56.5023,18
25.8021,56.65436667,17.777
25.75,57.12691667,17.611
25.8333,57.42886667,17.5
25.7292,57.47346667,17.388
25.7292,57.16776667,17.222
25.6562,56.79646667,17.111
25.4896,56.51995,16.888
25.3958,56.6864,16.722
25.2083,56.68326667,16.611
25.1979,56.76253333,16.222
24.9896,56.64188333,15.722
24.8542,56.19205,15.611
24.8438,55.22711667,15.722
24.7292,55.18146667,15.888
24.6042,55.2561,16
24.9271,53.80561667,16
24.9375,53.57778333,16.111
24.9792,53.29275,16.111
24.9271,53.1938,15.722
24.7708,53.0984,15.222
24.7917,52.94175,14.888
24.6979,52.9488,14.777
24.6354,52.64123333,14.722
24.5834,52.55366667,14.722
24.5,52.38278333,14.722
24.4479,52.24828333,14.722
24.3646,52.17238333,14.722
24.1146,52.12115,14.722
23.0521,53.78603333,14.722
22.4688,55.00115,14.722
22.1771,55.84561667,14.722
21.8854,56.5027,14.722
21.8021,56.8783,14.722
21.8229,56.8276,14.722
22.5625,54.79615,14.722
23.0729,53.3824,14.722
23.3438,52.83225,14.722
23.4271,52.75903333,14.722
23.4687,52.40631667,14.722
23.5208,52.23245,14.722
23.4271,51.98031667,14.722
23.4479,51.87276667,14.722
23.5625,51.57893333,14.722
23.5729,51.48911667,14.722
23.5833,51.30866667,14.722
23.5209,51.23815,14.722
23.5938,51.15951667,14.722
23.6563,51.08783333,14.722
23.6458,51.04823333,14.722
23.6875,50.8888,14.722
23.6459,50.94078333,14.722
23.6771,50.84223333,14.722
23.6354,50.87523333,14.722
23.6563,50.82828333,14.722
23.6875,50.62288333,14.722
23.6354,50.58753333,14.722
23.7396,50.47413333,14.722
23.6875,50.424,14.722
23.6771,50.35681667,14.722
23.6771,50.3549,14.722
23.6667,50.10535,14.722
23.6771,49.91731667,14.722
23.6354,48.91383333,14.722
23.6875,47.71273333,12.111
23.5625,46.77356667,12.111
23.5208,46.02776667,12.111
23.5312,45.23533333,12.222
23.4584,44.63291667,12.277
23.4271,44.2347,12.5
23.4271,43.58445,12.722
23.3021,42.94168333,12.888
23.1667,42.64356667,13.111
22.9166,42.94063333,13.111
22.8229,42.8716,13.5
22.7083,42.88101667,13.388
22.7708,42.87278333,13.388
22.7188,42.77806667,13.388
22.7813,42.60015,13.388
22.75,42.59001667,13.388
22.7188,42.59716667,13.388
22.7917,42.54721667,13.5
22.7813,42.42265,13.5
22.7604,42.42601667,13.777
22.75,42.26773333,13.888
22.6771,42.35338333,13.777
22.6667,42.3634,13.777
22.625,42.39486667,13.777
22.6667,42.37335,13.777
22.6354,42.5038,13.722
22.5729,42.46783333,13.777
22.6146,42.69166667,14
22.5209,42.57408333,14.111
22.5625,43.37136667,14.111
22.5417,43.51248333,14
22.5834,43.53153333,14
22.6354,43.31528333,14.111
22.5729,43.66906667,14.111
22.5,43.7623,14.222
22.5729,44.1022,14.111
22.5,44.35405,14.111
22.5,44.35405,14
22.5156,44.5012,13.888
22.5,44.645,13.777
22.4792,44.91766667,13.777
22.5,44.97298333,13.777
22.5105,45.0511,13.888
22.4688,45.15401667,13.888
22.4792,45.34461667,13.888
22.5104,45.14041667,14.222
22.5208,45.23228333,14.722
22.4583,45.31063333,14.777
22.375,45.4146,14.777
22.4479,45.61658333,14.611
22.2812,45.58838333,14.5
22.2292,45.64663333,13.888
22.2188,45.74375,13.388
22.1458,45.7931,13.277
22.1042,46.00453333,13.222
21.9896,46.06551667,13.222
21.9895,46.15096667,13.222
21.9271,46.05733333,13.222
21.9062,46.03255,13.222
21.8542,46.03295,13.222
21.8229,46.29196667,13.222
21.6458,47.40448333,13.222
21.4583,48.76991667,13.222
21.2917,49.76285,13.222
21.2083,50.7333,13.222
21.0729,51.4815,13.222
21.0521,51.51628333,13.222
21.125,50.93195,13.222
21.3021,50.17873333,13.222
21.3854,50.02951667,13.222
21.4375,49.96208333,13.222
21.4271,49.61168333,13.222
21.4792,49.38273333,13.222
21.5208,49.4281,13.222
21.4792,49.32538333,13.222
21.4896,49.06421667,13.222
21.5,48.96878333,13.222
21.5417,48.78225,13.222
21.5416,48.77623333,13.222
21.4688,48.84235,13.222
21.5416,48.69573333,13.222
21.5104,48.4514,13.222
21.4584,48.45513333,13.222
21.5521,48.4658,13.222
21.5,48.3981,13.222
21.5312,48.36951667,13.222
21.5521,48.20941667,13.222
21.4583,48.22915,13.222
21.5521,48.17836667,13.222
21.4687,48.0521,13.222
21.4896,48.10008333,13.222
21.5417,48.03813333,13.222
21.5834,47.9264,13.222
21.4792,47.95926667,13.222
21.4687,47.78738333,13.222
21.5521,46.97375,13.222
21.6042,46.12723333,15.5
21.5416,45.50116667,16.277
21.5625,45.01111667,16.777
21.5625,44.65098333,16.888
21.6042,44.09998333,17
21.625,43.88535,17.277
21.5833,43.57768333,17.5
21.6458,43.61576667,17.5
21.6771,43.38903333,18
21.6667,43.12215,18.611
21.7396,42.74831667,18.888
21.7917,42.4703,19
21.8854,42.24108333,19.111
21.9271,41.9095,19.222
22.0521,41.7229,19.388
22.0625,41.58803333,19.611
22.1458,41.45713333,19.5
22.1979,41.47686667,19.722
22.2396,41.54091667,20
22.1771,41.64988333,20
22.2083,41.59995,20.222
22.1667,41.75046667,20.611
22.3125,41.56395,20.722
22.2708,41.5068,20.722
22.25,41.56681667,21
22.3125,41.54903333,21
22.3646,41.81576667,21
22.3958,41.58823333,21.222
22.4895,41.02715,21.277
22.6667,40.37513333,20.777
22.7188,40.12858333,20.777
22.7292,39.73343333,20.888
22.7916,39.5106,20.722
22.9271,39.2861,20.388
22.9896,38.97706667,20.277
23,38.86631667,20.222
23.1042,38.72853333,20.111
23.2292,38.61816667,20
23.2396,38.51075,19.777
23.3021,38.49628333,19.777
23.3854,38.2898,19.611
23.4375,38.10511667,19.5
23.5729,38.00841667,19.277
23.6146,37.7255,19
23.6563,37.57873333,18.611
23.5834,37.6402,18.5
23.6771,37.35631667,18.5
23.7396,37.38135,18.222
23.7084,37.36538333,17.777
23.6979,37.30333333,17.722
23.6042,37.15148333,17.277
23.6458,36.99131667,17
23.6458,36.97578333,17
23.5833,36.93088333,16.888
23.5625,36.82946667,16.777
23.4687,36.9749,16.611
23.3542,37.39251667,16.611
23.1771,37.61991667,16.611
23.2083,37.64003333,16.611
23.2187,37.55181667,16.611
23.2292,37.51293333,16.611
22.9271,39.96208333,16.611
22.6771,41.99878333,16.611
22.5416,43.3104,16.611
22.3646,44.04511667,16.611
22.1354,44.32811667,16.611
22.0625,44.2033,16.611
21.8542,43.61518333,16.611
21.8125,43.66601667,16.611
21.6875,43.34996667,16.611
21.5,43.14261667,16.611
21.4271,43.04561667,16.611
21.375,43.60478333,16.611
21.2187,43.9132,16.611
21.125,44.77153333,16.611
21.0208,45.42596667,16.611
20.9583,46.47816667,16.611
20.9063,47.29546667,16.611
20.8542,47.9752,16.611
20.7187,48.65933333,16.611
20.5833,49.11828333,16.611
20.5625,49.5306,16.611
20.4479,49.83356667,16.611
20.4062,50.35911667,16.611
20.3542,50.73575,16.611
20.2396,50.73541667,16.611
20.1875,50.69223333,16.611
20.1979,51.03688333,16.611
20.0521,51.34056667,16.611
20.0833,51.29731667,16.611
19.9687,51.70211667,16.611
19.9375,51.79913333,16.611
19.8438,51.84355,16.611
19.8229,51.96871667,16.611
19.8229,51.95506667,16.611
19.9896,50.35061667,16.611
20.2292,48.7935,15.722
20.3854,47.72508333,16.388
20.4792,46.82178333,17
20.4791,46.08691667,17
20.5938,45.4504,17.722
20.625,45.07386667,18.388
20.6666,44.7378,18.722
20.6875,44.56798333,18.888
20.7604,44.31503333,19.222
20.7812,43.83911667,19.611
20.875,43.4823,19.611
20.9896,43.13855,19.388
21.0208,42.77421667,19.388
21.2083,42.45483333,19.388
21.3021,42.3232,19.5
21.3542,41.9903,19.611
21.4792,41.7782,19.777
21.625,41.60983333,19.888
21.625,41.38431667,19.888
21.625,41.2745,19.777
21.625,41.11605,19.888
21.625,40.89183333,20.388
21.625,40.75266667,20.388
21.625,40.62976667,20.111
21.625,40.49023333,20
21.625,40.38226667,19.777
21.625,40.27235,19.388
21.625,40.22133333,19.222
21.625,40.1002,19.388
21.625,40.06443333,19.277
21.625,39.87228333,19.222
21.625,39.79598333,19.277
21.625,39.71396667,19.222
21.625,39.604,19
21.625,39.48093333,18.777
