Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
1/1/2017 5:00,20.8959
1/1/2017 5:15,20.75
1/1/2017 5:30,20.6042
1/1/2017 5:45,20.6146
1/1/2017 6:00,20.5521
1/1/2017 6:15,20.5208
1/1/2017 6:30,20.5
1/1/2017 6:45,20.5104
1/1/2017 7:00,20.3958
1/1/2017 7:15,20.3959
1/1/2017 7:30,20.2812
1/1/2017 7:45,20.2812
1/1/2017 8:00,20.2708
1/1/2017 8:15,20.1354
1/1/2017 8:30,20.1458
1/1/2017 8:45,20.0312
1/1/2017 9:00,20.0729
1/1/2017 9:15,19.9792
1/1/2017 9:30,19.9688
1/1/2017 9:45,19.9688
1/1/2017 10:00,19.9375
1/1/2017 10:15,20.375
1/1/2017 10:30,20.8958
1/1/2017 10:45,21.0417
1/1/2017 11:00,21.25
1/1/2017 11:15,21.3125
1/1/2017 11:30,21.3333
1/1/2017 11:45,21.3542
1/1/2017 12:00,21.3438
1/1/2017 12:15,21.3854
1/1/2017 12:30,21.4167
1/1/2017 12:45,21.4479
1/1/2017 13:00,21.5833
1/1/2017 13:15,21.625
1/1/2017 13:30,21.6979
1/1/2017 13:45,21.7292
1/1/2017 14:00,21.8021
1/1/2017 14:15,21.8229
1/1/2017 14:30,21.8125
1/1/2017 14:45,22
1/1/2017 15:00,21.9271
1/1/2017 15:15,22
1/1/2017 15:30,22
1/1/2017 15:45,22
1/1/2017 16:00,21.9792
1/1/2017 16:15,22.0208
1/1/2017 16:30,22.0834
1/1/2017 16:45,22.0313
1/1/2017 17:00,22.0208
1/1/2017 17:15,22.0416
1/1/2017 17:30,22.0625
1/1/2017 17:45,22.0937
1/1/2017 18:00,22.0625
1/1/2017 18:15,22.1666
1/1/2017 18:30,22.125
1/1/2017 18:45,22.1146
1/1/2017 19:00,22.1562
1/1/2017 19:15,22.2083
1/1/2017 19:30,22.2708
1/1/2017 19:45,22.2917
1/1/2017 20:00,22.3021
1/1/2017 20:15,22.375
1/1/2017 20:30,22.6354
1/1/2017 20:45,22.7604
1/1/2017 21:00,22.3334
1/1/2017 21:15,22.2812
1/1/2017 21:30,22.3021
1/1/2017 21:45,22.2604
1/1/2017 22:00,22.1666
1/1/2017 22:15,22.1875
1/1/2017 22:30,22.1562
1/1/2017 22:45,22.125
1/1/2017 23:00,22.1354
1/1/2017 23:15,22.0937
1/1/2017 23:30,22.0104
1/1/2017 23:45,22.0833
1/2/2017 0:00,22.0313
1/2/2017 0:15,22.0521
1/2/2017 0:30,22.0417
1/2/2017 0:45,22.0312
1/2/2017 1:00,22
1/2/2017 1:15,21.9688
1/2/2017 1:30,21.9688
1/2/2017 1:45,21.9792
1/2/2017 2:00,21.9167
1/2/2017 2:15,21.8958
1/2/2017 2:30,21.9584
1/2/2017 2:45,21.9166
1/2/2017 3:00,21.8542
1/2/2017 3:15,21.7291
1/2/2017 3:30,21.6042
1/2/2017 3:45,21.5521
1/2/2017 4:00,21.4167
1/2/2017 4:15,21.3334
1/2/2017 4:30,21.2813
1/2/2017 4:45,21.1771
1/2/2017 5:00,21.1042
1/2/2017 5:15,21.0625
1/2/2017 5:30,21.0208
1/2/2017 5:45,21
1/2/2017 6:00,20.8542
1/2/2017 6:15,20.8646
1/2/2017 6:30,20.7812
1/2/2017 6:45,20.7604
1/2/2017 7:00,20.7292
1/2/2017 7:15,20.6563
1/2/2017 7:30,20.6146
1/2/2017 7:45,20.5312
1/2/2017 8:00,20.5
1/2/2017 8:15,20.4479
1/2/2017 8:30,20.3959
1/2/2017 8:45,20.375
1/2/2017 9:00,20.3542
1/2/2017 9:15,20.2708
1/2/2017 9:30,20.2396
1/2/2017 9:45,20.2188
1/2/2017 10:00,20.2187
1/2/2017 10:15,20.6563
1/2/2017 10:30,21.1771
1/2/2017 10:45,21.4479
1/2/2017 11:00,21.5312
1/2/2017 11:15,21.5104
1/2/2017 11:30,21.5312
1/2/2017 11:45,21.5521
1/2/2017 12:00,21.6562
1/2/2017 12:15,21.6041
1/2/2017 12:30,21.625
1/2/2017 12:45,21.6771
1/2/2017 13:00,21.625
1/2/2017 13:15,21.7396
1/2/2017 13:30,21.7083
1/2/2017 13:45,21.7396
1/2/2017 14:00,21.7917
1/2/2017 14:15,21.7709
1/2/2017 14:30,21.75
1/2/2017 14:45,21.8229
1/2/2017 15:00,21.8646
1/2/2017 15:15,21.9167
1/2/2017 15:30,21.9167
1/2/2017 15:45,21.8855
1/2/2017 16:00,21.9479
1/2/2017 16:15,21.9166
1960-11,390
1960-12,432
,
International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60,
