Unix,Cyclical_Time,DayW,Mo,DayM,Avg_S1,Avg_S2,Avg_S3,Avg_S4,Avg_S5,Avg_S6,RH_Avg,OT
1433131200,0.5,1,5,1,27.75,28.4375,27.7708,28.75,27.9688,28.1562,51.03283333,22.111
1433132100,0.44228869,1,5,1,27.7604,28.3645,27.7187,28.75,27.8437,28.0312,50.69406667,22.111
1433133000,0.382683432,1,5,1,27.7396,28.3125,27.6458,28.625,27.8021,27.9584,50.22001667,22.111
1433133900,0.321439465,1,5,1,27.625,28.2917,27.6354,28.5104,27.8021,27.8646,50.32451667,22.111
1433134800,0.258819045,1,5,1,27.5729,28.1042,27.5625,28.5521,27.6875,27.7812,51.57638333,22.111
1433135700,0.195090322,1,5,1,27.5104,28.1146,27.4271,28.4896,27.6042,27.8229,52.55801667,22.111
1433136600,0.130526192,1,5,1,27.4896,28.0729,27.4583,28.4479,27.5417,27.7396,52.94676667,22.111
1433137500,0.065403129,1,5,1,27.4375,28.0208,27.3646,28.3646,27.5104,27.625,52.83148333,22.111
1433138400,6.13E-17,1,5,1,27.4063,28.0625,27.5104,28.4375,27.6563,27.7083,52.74405,22.111
1433139300,-0.065403129,1,5,1,27.6458,28.2604,27.6458,28.6354,27.8854,27.875,52.11276667,22.111
1433140200,-0.130526192,1,5,1,27.7604,28.2604,27.7188,28.7605,27.9792,28.0417,51.48951667,22.111
1433141100,-0.195090322,1,5,1,27.8542,28.3542,27.7292,28.7292,28.0729,28.0208,51.36205,22.111
1433142000,-0.258819045,1,5,1,27.8542,28.2916,27.8333,28.7604,28.0938,28.0521,51.17396667,22.111
1433142900,-0.321439465,1,5,1,27.7916,28.2708,27.7708,28.6979,28.0834,28.1146,50.98548333,22.111
1433143800,-0.382683432,1,5,1,27.7604,28.3229,27.8229,28.6771,28.0521,27.9792,50.99135,22.111
1433144700,-0.44228869,1,5,1,27.8333,28.2708,27.8229,28.7396,28,28.0416,50.66306667,22.111
