Yr,Mo,Day,o_time,d_time,c_time,s_x,s_y,s_z,Solar Alt,Solar Azimuth,T_in,SP2_1,SP2_10,SP2_11,SP2_2,SP2_3,SP2_4,SP2_5,SP2_6,SP2_7,SP2_8,SP2_9
2017,7,10,0:00:00,0,1,-0.020993,0.380376,-0.924594,-67.60715,-3.15894,16.06208,17.9375,17.8125,18.18729,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.75
2017,7,10,0:05:00,0.08,0.999762027,-0.000818,0.380369,-0.924834,-67.64338,-0.12317,16.0625,17.9375,17.8125,18.12521,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.68771
2017,7,10,0:10:00,0.17,0.999048222,0.019358,0.380363,-0.924635,-67.61335,2.91347,15.93792,17.9375,17.8125,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.6875
2017,7,10,0:15:00,0.25,0.997858923,0.039525,0.380356,-0.923995,-67.51732,5.93259,15.62604,17.9375,17.8125,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.6875
2017,7,10,0:20:00,0.33,0.996194698,0.059673,0.380349,-0.922916,-67.35615,8.91638,15.43812,17.9375,17.75021,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.6875
2017,7,10,0:25:00,0.42,0.994056338,0.079792,0.380343,-0.921397,-67.1312,11.84827,15.33783,17.9375,17.71262,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.62521
2017,7,10,0:30:00,0.5,0.991444861,0.099874,0.380336,-0.91944,-66.84434,14.71335,15.23783,17.9375,17.67513,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.56271
2017,7,10,0:35:00,0.58,0.98836151,0.119908,0.380329,-0.917045,-66.49785,17.49878,15.13783,17.9375,17.63762,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.50021
2017,7,10,0:40:00,0.67,0.984807753,0.139886,0.380322,-0.914214,-66.09432,20.19395,15.03783,17.9375,17.60012,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.43771
2017,7,10,0:45:00,0.75,0.98078528,0.159797,0.380316,-0.910947,-65.63659,22.79064,14.93783,17.9375,17.56262,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.37521
2017,7,10,0:50:00,0.83,0.976296007,0.179632,0.380309,-0.907247,-65.12766,25.28285,14.9375,17.87521,17.43792,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.31271
2017,7,10,0:55:00,0.92,0.97134207,0.199382,0.380302,-0.903115,-64.57063,27.66675,15.06208,17.875,17.4375,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.18792
2017,7,10,1:00:00,1,0.965925826,0.219037,0.380295,-0.898553,-63.96857,29.94041,15.12479,17.875,17.31292,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.1875
2017,7,10,1:05:00,1.08,0.960049854,0.238588,0.380289,-0.893564,-63.32456,32.10355,14.93813,17.81271,17.25021,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,17.06292
2017,7,10,1:10:00,1.17,0.953716951,0.258025,0.380282,-0.888149,-62.64157,34.15727,14.96865,17.8125,17.17214,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.96906
2017,7,10,1:15:00,1.25,0.946930129,0.27734,0.380275,-0.882311,-61.92245,36.10376,14.9999,17.8125,17.09401,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.87531
2017,7,10,1:20:00,1.33,0.939692621,0.296523,0.380269,-0.876054,-61.16993,37.9461,15.03115,17.8125,17.01589,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.78156
2017,7,10,1:25:00,1.42,0.932007869,0.315565,0.380262,-0.869379,-60.38656,39.68798,15.0624,17.8125,16.93776,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.68781
2017,7,10,1:30:00,1.5,0.923879533,0.334457,0.380255,-0.862291,-59.57474,41.33352,15.0625,17.75021,16.87521,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.62521
2017,7,10,1:35:00,1.58,0.915311479,0.353189,0.380248,-0.854791,-58.73671,42.88713,14.93792,17.75,16.81271,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.56271
2017,7,10,1:40:00,1.67,0.906307787,0.371754,0.380242,-0.846886,-57.87452,44.35337,14.9375,17.68771,16.75021,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.43792
2017,7,10,1:45:00,1.75,0.896872742,0.390142,0.380235,-0.838576,-56.99009,45.73682,14.87521,17.6875,16.68771,18.125,18.0625,17.9375,18.0625,18.0625,18.0625,18.0625,18.1875,16.4375
2017,7,10,1:50:00,1.83,0.887010833,0.408345,0.380228,-0.829868,-56.08518,47.04204,14.83866,17.62002,16.58887,18.125,18.0625,17.9375,18.0625,18.05731,18.0625,18.0625,18.1875,16.34406
2017,7,10,1:55:00,1.92,0.876726756,0.426353,0.380221,-0.820765,-55.16141,48.27347,14.8022,17.55231,16.48991,18.125,18.0625,17.9375,18.0625,18.0521,18.0625,18.0625,18.1875,16.25031
2017,7,10,2:00:00,2,0.866025404,0.444159,0.380215,-0.81127,-54.22024,49.4354,14.76575,17.4846,16.39095,18.125,18.0625,17.9375,18.0625,18.04689,18.0625,18.0625,18.1875,16.15656
2017,7,10,2:05:00,2.08,0.854911871,0.461753,0.380208,-0.80139,-53.26304,50.53195,14.72929,17.41689,16.292,18.125,18.0625,17.9375,18.0625,18.04168,18.0625,18.0625,18.1875,16.06281
2017,7,10,2:10:00,2.17,0.843391446,0.479128,0.380201,-0.791128,-52.29104,51.56705,14.69283,17.34918,16.19304,18.125,18.0625,17.9375,18.0625,18.03648,18.0625,18.0625,18.1875,15.96906
2017,7,10,2:15:00,2.25,0.831469612,0.496275,0.380194,-0.780489,-51.30539,52.54442,14.65637,17.28148,16.09408,18.125,18.0625,17.9375,18.0625,18.03127,18.0625,18.0625,18.1875,15.87531
2017,7,10,2:20:00,2.33,0.819152044,0.513186,0.380188,-0.769479,-50.30711,53.46754,14.61991,17.21377,15.99512,18.125,18.0625,17.9375,18.0625,18.02606,18.0625,18.0625,18.1875,15.78156
2017,7,10,2:25:00,2.42,0.806444604,0.529853,0.380181,-0.758102,-49.29717,54.33973,14.58345,17.14606,15.89616,18.125,18.0625,17.9375,18.0625,18.02085,18.0625,18.0625,18.1875,15.68781
2017,7,10,2:30:00,2.5,0.79335334,0.546267,0.380174,-0.746364,-48.27642,55.16405,14.547,17.07835,15.7972,18.125,18.0625,17.9375,18.0625,18.01564,18.0625,18.0625,18.1875,15.59406
2017,7,10,2:35:00,2.58,0.779884483,0.562422,0.380167,-0.734271,-47.24567,55.9434,14.51054,17.01064,15.69825,18.125,18.0625,17.9375,18.0625,18.01043,18.0625,18.0625,18.1875,15.50031
2017,7,10,2:40:00,2.67,0.766044443,0.578309,0.380161,-0.721828,-46.20564,56.68047,14.47408,16.94293,15.59929,18.125,18.0625,17.9375,18.0625,18.00523,18.0625,18.0625,18.1875,15.40656
2017,7,10,2:45:00,2.75,0.751839807,0.593922,0.380154,-0.709042,-45.15701,57.37775,14.43762,16.87523,15.50033,18.125,18.0625,17.9375,18.0625,18.00002,18.0625,18.0625,18.1875,15.31281
2017,7,10,2:50:00,2.83,0.737277337,0.609251,0.380147,-0.695917,-44.10037,58.03758,14.31292,16.81271,15.43771,18.125,18.0625,17.9375,18.0625,18,18.0625,18.0625,18.1875,15.25021
2017,7,10,2:55:00,2.92,0.722363962,0.624291,0.38014,-0.682462,-43.03631,58.66214,14.28075,16.70136,15.37399,18.125,18.0625,17.9375,18.0625,18,18.07044,18.0625,18.1875,15.20237
2017,7,10,3:00:00,3,0.707106781,0.639034,0.380134,-0.668681,-41.96533,59.25343,14.24888,16.58985,15.31027,18.125,18.0625,17.9375,18.0625,18,18.0784,18.0625,18.1875,15.15458
2017,7,10,3:05:00,3.08,0.691513056,0.653473,0.380127,-0.654581,-40.88791,59.81334,14.21702,16.47833,15.24655,18.125,18.0625,17.9375,18.0625,18,18.08637,18.0625,18.1875,15.10679
2017,7,10,3:10:00,3.17,0.675590208,0.667601,0.38012,-0.64017,-39.8045,60.34359,14.18516,16.36682,15.18283,18.125,18.0625,17.9375,18.0625,18,18.09433,18.0625,18.1875,15.059
2017,7,10,3:15:00,3.25,0.659345815,0.681411,0.380113,-0.625454,-38.7155,60.84582,14.1533,16.25531,15.11911,18.125,18.0625,17.9375,18.0625,18,18.1023,18.0625,18.1875,15.0112
2017,7,10,3:20:00,3.33,0.64278761,0.694898,0.380106,-0.610439,-37.62128,61.32151,14.12144,16.1438,15.05538,18.125,18.0625,17.9375,18.0625,18,18.11026,18.0625,18.1875,14.96341
2017,7,10,3:25:00,3.42,0.625923472,0.708053,0.3801,-0.595134,-36.52219,61.77205,14.08958,16.03229,14.99166,18.125,18.0625,17.9375,18.0625,18,18.11823,18.0625,18.1875,14.91562
2017,7,10,3:30:00,3.5,0.608761429,0.720872,0.380093,-0.579545,-35.41856,62.19875,14.00136,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,3:35:00,3.58,0.591309648,0.733348,0.380086,-0.56368,-34.31067,62.6028,14.09344,15.87521,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.84385
2017,7,10,3:40:00,3.67,0.573576436,0.745475,0.380079,-0.547546,-33.19881,62.98531,14.18719,15.81271,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.8126
2017,7,10,3:45:00,3.75,0.555570233,0.757248,0.380073,-0.531151,-32.08323,63.34732,14.31208,15.8125,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.8125
2017,7,10,3:50:00,3.83,0.537299608,0.76866,0.380066,-0.514502,-30.96418,63.68978,14.43708,15.75021,14.99979,18.125,18.0625,17.9375,18.0625,18.06229,18.18729,18.0625,18.1875,14.93708
2017,7,10,3:55:00,3.92,0.518773258,0.779706,0.380059,-0.497608,-29.84187,64.01359,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:00:00,4,0.5,0.790381,0.380052,-0.480476,-28.71652,64.31958,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:05:00,4.08,0.480988769,0.800681,0.380045,-0.463115,-27.58831,64.60851,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:10:00,4.17,0.461748613,0.810599,0.380039,-0.445533,-26.45743,64.88109,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:15:00,4.25,0.44228869,0.820132,0.380032,-0.427737,-25.32405,65.13799,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:20:00,4.33,0.422618262,0.829275,0.380025,-0.409737,-24.18832,65.37981,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:25:00,4.42,0.40274669,0.838023,0.380018,-0.391541,-23.0504,65.60712,14.0625,15.9375,14.9375,18.125,18.0625,17.9375,18.0625,18,18.125,18.0625,18.1875,14.875
2017,7,10,4:30:00,4.5,0.382683432,0.846372,0.380012,-0.373156,-21.91041,65.82045,15.30556,16.09196,15.5524,18.1513,18.0625,17.99011,18.0625,18.0625,18.24011,18.0625,18.24011,15.4899
2017,7,10,4:35:00,4.58,0.362438038,0.854319,0.380005,-0.354593,-20.7685,66.02029,15.41411,16.13473,15.62148,18.15459,18.0625,17.99669,18.0625,18.0625,18.24669,18.0625,18.24669,15.55898
2017,7,10,4:40:00,4.67,0.342020143,0.861859,0.379998,-0.335859,-19.62477,66.20707,15.52266,16.17749,15.69056,18.15788,18.0625,18.00327,18.0625,18.0625,18.25327,18.0625,18.25327,15.62806
2017,7,10,4:45:00,4.75,0.321439465,0.868989,0.379991,-0.316962,-18.47933,66.38122,15.63122,16.22025,15.75964,18.16117,18.0625,18.00985,18.0625,18.0625,18.25985,18.0625,18.25985,15.69714
2017,7,10,4:50:00,4.83,0.3007058,0.875705,0.379984,-0.297913,-17.33228,66.54311,15.73977,16.26302,15.82872,18.16446,18.0625,18.01643,18.0625,18.0625,18.26643,18.0625,18.26643,15.76622
2017,7,10,4:55:00,4.92,0.279829014,0.882005,0.379978,-0.278718,-16.1837,66.69309,16.5,16.5625,16.3125,18.1875,18.0625,18.0625,18.0625,18.0625,18.3125,18.0625,18.3125,16.25
