Yr,Mo,Day,o_time,d_time,c_time,s_x,s_y,s_z,Solar Alt,Solar Azimuth,T_in,STemp,S
2017,7,10,0:00:00,0,1,-0.020993,0.380376,-0.924594,-67.60715,-3.15894,16.06208,17.9375,1
2017,7,10,0:05:00,0.08,0.999762027,-0.000818,0.380369,-0.924834,-67.64338,-0.12317,16.0625,17.9375,1
2017,7,10,0:10:00,0.17,0.999048222,0.019358,0.380363,-0.924635,-67.61335,2.91347,15.93792,17.9375,1
2017,7,10,0:15:00,0.25,0.997858923,0.039525,0.380356,-0.923995,-67.51732,5.93259,15.62604,17.9375,1
2017,7,10,0:20:00,0.33,0.996194698,0.059673,0.380349,-0.922916,-67.35615,8.91638,15.43812,17.9375,1
2017,7,10,0:25:00,0.42,0.994056338,0.079792,0.380343,-0.921397,-67.1312,11.84827,15.33783,17.9375,1
2017,7,10,0:30:00,0.5,0.991444861,0.099874,0.380336,-0.91944,-66.84434,14.71335,15.23783,17.9375,1
2017,7,10,0:35:00,0.58,0.98836151,0.119908,0.380329,-0.917045,-66.49785,17.49878,15.13783,17.9375,1
2017,7,10,0:40:00,0.67,0.984807753,0.139886,0.380322,-0.914214,-66.09432,20.19395,15.03783,17.9375,1
2017,7,10,0:45:00,0.75,0.98078528,0.159797,0.380316,-0.910947,-65.63659,22.79064,14.93783,17.9375,1
2017,7,10,0:50:00,0.83,0.976296007,0.179632,0.380309,-0.907247,-65.12766,25.28285,14.9375,17.87521,1
2017,7,10,0:55:00,0.92,0.97134207,0.199382,0.380302,-0.903115,-64.57063,27.66675,15.06208,17.875,1
2017,7,10,1:00:00,1,0.965925826,0.219037,0.380295,-0.898553,-63.96857,29.94041,15.12479,17.875,1
2017,7,10,1:05:00,1.08,0.960049854,0.238588,0.380289,-0.893564,-63.32456,32.10355,14.93813,17.81271,1
2017,7,10,1:10:00,1.17,0.953716951,0.258025,0.380282,-0.888149,-62.64157,34.15727,14.96865,17.8125,1
2017,7,10,1:15:00,1.25,0.946930129,0.27734,0.380275,-0.882311,-61.92245,36.10376,14.9999,17.8125,1
2017,7,10,1:20:00,1.33,0.939692621,0.296523,0.380269,-0.876054,-61.16993,37.9461,15.03115,17.8125,1
2017,7,10,1:25:00,1.42,0.932007869,0.315565,0.380262,-0.869379,-60.38656,39.68798,15.0624,17.8125,1
2017,7,10,1:30:00,1.5,0.923879533,0.334457,0.380255,-0.862291,-59.57474,41.33352,15.0625,17.75021,1
2017,7,10,1:35:00,1.58,0.915311479,0.353189,0.380248,-0.854791,-58.73671,42.88713,14.93792,17.75,1
2017,7,10,1:40:00,1.67,0.906307787,0.371754,0.380242,-0.846886,-57.87452,44.35337,14.9375,17.68771,1
2017,7,10,1:45:00,1.75,0.896872742,0.390142,0.380235,-0.838576,-56.99009,45.73682,14.87521,17.6875,1
2017,7,10,1:50:00,1.83,0.887010833,0.408345,0.380228,-0.829868,-56.08518,47.04204,14.83866,17.62002,1
2017,7,10,1:55:00,1.92,0.876726756,0.426353,0.380221,-0.820765,-55.16141,48.27347,14.8022,17.55231,1
2017,7,10,2:00:00,2,0.866025404,0.444159,0.380215,-0.81127,-54.22024,49.4354,14.76575,17.4846,1
2017,7,10,2:05:00,2.08,0.854911871,0.461753,0.380208,-0.80139,-53.26304,50.53195,14.72929,17.41689,1
2017,7,10,2:10:00,2.17,0.843391446,0.479128,0.380201,-0.791128,-52.29104,51.56705,14.69283,17.34918,1
2017,7,10,2:15:00,2.25,0.831469612,0.496275,0.380194,-0.780489,-51.30539,52.54442,14.65637,17.28148,1
2017,7,10,2:20:00,2.33,0.819152044,0.513186,0.380188,-0.769479,-50.30711,53.46754,14.61991,17.21377,1
2017,7,10,2:25:00,2.42,0.806444604,0.529853,0.380181,-0.758102,-49.29717,54.33973,14.58345,17.14606,1
2017,7,10,2:30:00,2.5,0.79335334,0.546267,0.380174,-0.746364,-48.27642,55.16405,14.547,17.07835,1
2017,7,10,2:35:00,2.58,0.779884483,0.562422,0.380167,-0.734271,-47.24567,55.9434,14.51054,17.01064,1
2017,7,10,2:40:00,2.67,0.766044443,0.578309,0.380161,-0.721828,-46.20564,56.68047,14.47408,16.94293,1
2017,7,10,2:45:00,2.75,0.751839807,0.593922,0.380154,-0.709042,-45.15701,57.37775,14.43762,16.87523,1
2017,7,10,2:50:00,2.83,0.737277337,0.609251,0.380147,-0.695917,-44.10037,58.03758,14.31292,16.81271,1
2017,7,10,2:55:00,2.92,0.722363962,0.624291,0.38014,-0.682462,-43.03631,58.66214,14.28075,16.70136,1
2017,7,10,3:00:00,3,0.707106781,0.639034,0.380134,-0.668681,-41.96533,59.25343,14.24888,16.58985,1
2017,7,10,3:05:00,3.08,0.691513056,0.653473,0.380127,-0.654581,-40.88791,59.81334,14.21702,16.47833,1
2017,7,10,3:10:00,3.17,0.675590208,0.667601,0.38012,-0.64017,-39.8045,60.34359,14.18516,16.36682,1
2017,7,10,3:15:00,3.25,0.659345815,0.681411,0.380113,-0.625454,-38.7155,60.84582,14.1533,16.25531,1
2017,7,10,3:20:00,3.33,0.64278761,0.694898,0.380106,-0.610439,-37.62128,61.32151,14.12144,16.1438,1
2017,7,10,3:25:00,3.42,0.625923472,0.708053,0.3801,-0.595134,-36.52219,61.77205,14.08958,16.03229,1
2017,7,10,3:30:00,3.5,0.608761429,0.720872,0.380093,-0.579545,-35.41856,62.19875,14.00136,15.9375,1
2017,7,10,3:35:00,3.58,0.591309648,0.733348,0.380086,-0.56368,-34.31067,62.6028,14.09344,15.87521,1
2017,7,10,3:40:00,3.67,0.573576436,0.745475,0.380079,-0.547546,-33.19881,62.98531,14.18719,15.81271,1
2017,7,10,3:45:00,3.75,0.555570233,0.757248,0.380073,-0.531151,-32.08323,63.34732,14.31208,15.8125,1
2017,7,10,3:50:00,3.83,0.537299608,0.76866,0.380066,-0.514502,-30.96418,63.68978,14.43708,15.75021,1
2017,7,10,3:55:00,3.92,0.518773258,0.779706,0.380059,-0.497608,-29.84187,64.01359,14.0625,15.9375,1
2017,7,10,4:00:00,4,0.5,0.790381,0.380052,-0.480476,-28.71652,64.31958,14.0625,15.9375,1
2017,7,10,4:05:00,4.08,0.480988769,0.800681,0.380045,-0.463115,-27.58831,64.60851,14.0625,15.9375,1
2017,7,10,4:10:00,4.17,0.461748613,0.810599,0.380039,-0.445533,-26.45743,64.88109,14.0625,15.9375,1
2017,7,10,4:15:00,4.25,0.44228869,0.820132,0.380032,-0.427737,-25.32405,65.13799,14.0625,15.9375,1
2017,7,10,4:20:00,4.33,0.422618262,0.829275,0.380025,-0.409737,-24.18832,65.37981,14.0625,15.9375,1
2017,7,10,4:25:00,4.42,0.40274669,0.838023,0.380018,-0.391541,-23.0504,65.60712,14.0625,15.9375,1
2017,7,10,4:30:00,4.5,0.382683432,0.846372,0.380012,-0.373156,-21.91041,65.82045,15.30556,16.09196,1
2017,7,10,4:35:00,4.58,0.362438038,0.854319,0.380005,-0.354593,-20.7685,66.02029,15.41411,16.13473,1
2017,7,10,4:40:00,4.67,0.342020143,0.861859,0.379998,-0.335859,-19.62477,66.20707,15.52266,16.17749,1
2017,7,10,4:45:00,4.75,0.321439465,0.868989,0.379991,-0.316962,-18.47933,66.38122,15.63122,16.22025,1
2017,7,10,4:50:00,4.83,0.3007058,0.875705,0.379984,-0.297913,-17.33228,66.54311,15.73977,16.26302,1
2017,7,10,4:55:00,4.92,0.279829014,0.882005,0.379978,-0.278718,-16.1837,66.69309,16.5,16.5625,1
2017,7,10,5:00:00,5,0.258819045,0.887886,0.379971,-0.259387,-15.03367,66.83149,16.5,16.5625,1
2017,7,10,5:05:00,5.08,0.237685892,0.893343,0.379964,-0.239927,-13.88223,66.95859,16.5,16.5625,1
2017,7,10,5:10:00,5.17,0.216439614,0.898376,0.379957,-0.220347,-12.72943,67.07466,16.5,16.5625,1
2017,7,10,5:15:00,5.25,0.195090322,0.902981,0.37995,-0.200655,-11.57525,67.17994,16.5,16.5625,1
2017,7,10,5:20:00,5.33,0.173648178,0.907157,0.379944,-0.180857,-10.41965,67.27465,16.5,16.5625,1
2017,7,10,5:25:00,5.42,0.152123386,0.910901,0.379937,-0.160958,-9.26252,67.35898,16.5,16.5625,1
2017,7,10,5:30:00,5.5,0.130526192,0.914211,0.37993,-0.140963,-8.1036,67.4331,16.60382,16.64556,1
2017,7,10,5:35:00,5.58,0.108866875,0.917087,0.379923,-0.120872,-6.94243,67.49716,16.70799,16.72889,1
2017,7,10,5:40:00,5.67,0.087155743,0.919526,0.379916,-0.100676,-5.77811,67.55128,16.81215,16.81222,1
2017,7,10,5:45:00,5.75,0.065403129,0.921527,0.379909,-0.080351,-4.60875,67.59558,16.90594,16.87479,1
2017,7,10,5:50:00,5.83,0.043619387,0.92309,0.379902,-0.059827,-3.42987,67.63014,16.99969,16.93729,1
2017,7,10,5:55:00,5.92,0.021814885,0.924212,0.379895,-0.038878,-2.22811,67.65502,17.09344,16.99979,1
2017,7,10,6:00:00,6,6.13E-17,0.924889,0.379885,-0.016383,-0.93875,67.67029,17.18719,17.06229,1
2017,7,10,6:05:00,6.08,-0.021814885,0.925024,0.379833,0.007585,0.43461,67.67596,17.56125,17.31167,1
2017,7,10,6:10:00,6.17,-0.043619387,0.924726,0.379785,0.025385,1.45464,67.67205,18.18542,17.43708,1
2017,7,10,6:15:00,6.25,-0.065403129,0.924037,0.379756,0.044048,2.52457,67.65855,18.43667,17.56208,1
2017,7,10,6:20:00,6.33,-0.087155743,0.922933,0.379738,0.063203,3.62367,67.63543,17.93917,17.68708,1
2017,7,10,6:25:00,6.42,-0.108866875,0.921402,0.379725,0.082629,4.73969,67.60265,18.06208,17.93667,1
2017,7,10,6:30:00,6.5,-0.130526192,0.919437,0.379713,0.102239,5.86812,67.56015,18.93458,17.99979,1
2017,7,10,6:35:00,6.58,-0.152123386,0.91704,0.379704,0.121917,7.00273,67.50782,19.06208,18.12458,1
